country,year, gdp_for_year ($) ,gdp_per_capita ($)
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1987,"2,156,624,900",796
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1988,"2,126,000,000",769
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1989,"2,335,124,988",833
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1992,"709,452,584",251
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1993,"1,228,071,038",437
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1994,"1,985,673,798",697
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1995,"2,424,499,009",835
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1996,"3,314,898,292",1127
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1997,"2,359,903,108",793
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1998,"2,707,123,772",899
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,1999,"3,414,760,915",1127
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2000,"3,632,043,908",1299
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2001,"4,060,758,804",1451
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
